name,image_url
אלוורה,/static/image/%D7%90%D7%9C%D7%95%D7%95%D7%A8%D7%94.jpg
אפיפילום אוקסיפטלום,/static/image/%D7%90%D7%A4%D7%99%D7%A4%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%A7%D7%A1%D7%99%D7%A4%D7%98%D7%9C%D7%95%D7%9D.jpg
בגוניה תמימה,/static/image/%D7%91%D7%92%D7%95%D7%A0%D7%99%D7%94%20%D7%AA%D7%9E%D7%99%D7%9E%D7%94.jpg
בפורמי,/static/image/%D7%91%D7%A4%D7%95%D7%A8%D7%9E%D7%99.jpg
בפפורמיה,/static/image/%D7%91%D7%A4%D7%A4%D7%95%D7%A8%D7%9E%D7%99%D7%94.jpg
בפפרומיה אובטוספלויה,/static/image/%D7%91%D7%A4%D7%A4%D7%A8%D7%95%D7%9E%D7%99%D7%94%20%D7%90%D7%95%D7%91%D7%98%D7%95%D7%A1%D7%A4%D7%9C%D7%95%D7%99%D7%94.jpg
גסטריה,/static/image/%D7%92%D7%A1%D7%98%D7%A8%D7%99%D7%94.jpg
גרניום לימוני,/static/image/%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%9C%D7%99%D7%9E%D7%95%D7%A0%D7%99.jpg
דלוספרמה אכינאטום,/static/image/%D7%93%D7%9C%D7%95%D7%A1%D7%A4%D7%A8%D7%9E%D7%94%20%D7%90%D7%9B%D7%99%D7%A0%D7%90%D7%98%D7%95%D7%9D.jpg
דרצנה אנגוסטיפוליה,/static/image/%D7%93%D7%A8%D7%A6%D7%A0%D7%94%20%D7%90%D7%A0%D7%92%D7%95%D7%A1%D7%98%D7%99%D7%A4%D7%95%D7%9C%D7%99%D7%94.jpg
הוורניה מקרוקרפה,/static/image/%D7%94%D7%95%D7%95%D7%A8%D7%A0%D7%99%D7%94%20%D7%9E%D7%A7%D7%A8%D7%95%D7%A7%D7%A8%D7%A4%D7%94.jpg
הוורתיה טרונקטה,/static/image/%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%94%20%D7%98%D7%A8%D7%95%D7%A0%D7%A7%D7%98%D7%94.jpg
הוורתיה קימביפורמיס,/static/image/%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%94%20%D7%A7%D7%99%D7%9E%D7%91%D7%99%D7%A4%D7%95%D7%A8%D7%9E%D7%99%D7%A1.jpg
הוורתיה,/static/image/%D7%94%D7%95%D7%95%D7%A8%D7%AA%D7%99%D7%94.jpg
היביסקוס סיני,/static/image/%D7%94%D7%99%D7%91%D7%99%D7%A1%D7%A7%D7%95%D7%A1%20%D7%A1%D7%99%D7%A0%D7%99.jpg
ורד החול,/static/image/%D7%95%D7%A8%D7%93%20%D7%94%D7%97%D7%95%D7%9C.jpg
ורד מבוגר ורד,/static/image/%D7%95%D7%A8%D7%93%20%D7%9E%D7%91%D7%95%D7%92%D7%A8%20%D7%95%D7%A8%D7%93.jpg
ורד מבוגר ורודבהיר4,/static/image/%D7%95%D7%A8%D7%93%20%D7%9E%D7%91%D7%95%D7%92%D7%A8%20%D7%95%D7%A8%D7%95%D7%93%D7%91%D7%94%D7%99%D7%A84.jpg
ורד מבוגר צהוב,/static/image/%D7%95%D7%A8%D7%93%20%D7%9E%D7%91%D7%95%D7%92%D7%A8%20%D7%A6%D7%94%D7%95%D7%91.jpg
ורד קארו,/static/image/%D7%95%D7%A8%D7%93%20%D7%A7%D7%90%D7%A8%D7%95.jpg
חלבלוב אלווד,/static/image/%D7%97%D7%9C%D7%91%D7%9C%D7%95%D7%91%20%D7%90%D7%9C%D7%95%D7%95%D7%93.jpg
חלבלוב רותמי 2,/static/image/%D7%97%D7%9C%D7%91%D7%9C%D7%95%D7%91%20%D7%A8%D7%95%D7%AA%D7%9E%D7%99%20%282%29.jpg
חלבלוב רותמי,/static/image/%D7%97%D7%9C%D7%91%D7%9C%D7%95%D7%91%20%D7%A8%D7%95%D7%AA%D7%9E%D7%99.jpg
טרדסקנטיה סילמונטנה,/static/image/%D7%98%D7%A8%D7%93%D7%A1%D7%A7%D7%A0%D7%98%D7%99%D7%94%20%D7%A1%D7%99%D7%9C%D7%9E%D7%95%D7%A0%D7%98%D7%A0%D7%94.jpg
מרווה רפואית,/static/image/%D7%9E%D7%A8%D7%95%D7%95%D7%94%20%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA.jpg
נדונית,/static/image/%D7%A0%D7%93%D7%95%D7%A0%D7%99%D7%AA.jpg
ניצנית 2,/static/image/%D7%A0%D7%99%D7%A6%D7%A0%D7%99%D7%AA%20%282%29.jpg
ניצנית לבידה,/static/image/%D7%A0%D7%99%D7%A6%D7%A0%D7%99%D7%AA%20%D7%9C%D7%91%D7%99%D7%93%D7%94.jpg
ניצנית משוננת,/static/image/%D7%A0%D7%99%D7%A6%D7%A0%D7%99%D7%AA%20%D7%9E%D7%A9%D7%95%D7%A0%D7%A0%D7%AA.jpg
ניצנית,/static/image/%D7%A0%D7%99%D7%A6%D7%A0%D7%99%D7%AA.jpg
נצחה שיחית 2,/static/image/%D7%A0%D7%A6%D7%97%D7%94%20%D7%A9%D7%99%D7%97%D7%99%D7%AA%20%282%29.jpg
נצחה שיחית 3,/static/image/%D7%A0%D7%A6%D7%97%D7%94%20%D7%A9%D7%99%D7%97%D7%99%D7%AA%20%283%29.jpg
נצחה שיחית,/static/image/%D7%A0%D7%A6%D7%97%D7%94%20%D7%A9%D7%99%D7%97%D7%99%D7%AA.jpg
סדום אדולפי 2,/static/image/%D7%A1%D7%93%D7%95%D7%9D%20%D7%90%D7%93%D7%95%D7%9C%D7%A4%D7%99%20%282%29.jpg
סדום אדולפי,/static/image/%D7%A1%D7%93%D7%95%D7%9D%20%D7%90%D7%93%D7%95%D7%9C%D7%A4%D7%99.jpg
סוקולנט  אורבאה,/static/image/%D7%A1%D7%95%D7%A7%D7%95%D7%9C%D7%A0%D7%98%20%20%D7%90%D7%95%D7%A8%D7%91%D7%90%D7%94.jpg
סוקולנט אורבאה,/static/image/%D7%A1%D7%95%D7%A7%D7%95%D7%9C%D7%A0%D7%98%20%D7%90%D7%95%D7%A8%D7%91%D7%90%D7%94.jpg
סוקולנט שיח סביון,/static/image/%D7%A1%D7%95%D7%A7%D7%95%D7%9C%D7%A0%D7%98%20%D7%A9%D7%99%D7%97%20%D7%A1%D7%91%D7%99%D7%95%D7%9F.jpg
סוקולנט,/static/image/%D7%A1%D7%95%D7%A7%D7%95%D7%9C%D7%A0%D7%98.jpg
סטפיליה ענקית 2,/static/image/%D7%A1%D7%98%D7%A4%D7%99%D7%9C%D7%99%D7%94%20%D7%A2%D7%A0%D7%A7%D7%99%D7%AA%20%282%29.jpg
סטפיליה ענקית,/static/image/%D7%A1%D7%98%D7%A4%D7%99%D7%9C%D7%99%D7%94%20%D7%A2%D7%A0%D7%A7%D7%99%D7%AA.jpg
סטפליה,/static/image/%D7%A1%D7%98%D7%A4%D7%9C%D7%99%D7%94.jpg
סמבוק שחוק,/static/image/%D7%A1%D7%9E%D7%91%D7%95%D7%A7%20%D7%A9%D7%97%D7%95%D7%A7.jpg
סמבוק שחור,/static/image/%D7%A1%D7%9E%D7%91%D7%95%D7%A7%20%D7%A9%D7%97%D7%95%D7%A8.jpg
סנסיבריה שפית דקה,/static/image/%D7%A1%D7%A0%D7%A1%D7%99%D7%91%D7%A8%D7%99%D7%94%20%D7%A9%D7%A4%D7%99%D7%AA%20%D7%93%D7%A7%D7%94.jpg
סנסיוריה גלילית,/static/image/%D7%A1%D7%A0%D7%A1%D7%99%D7%95%D7%A8%D7%99%D7%94%20%D7%92%D7%9C%D7%99%D7%9C%D7%99%D7%AA.jpg
סרח בוסטון 2,/static/image/%D7%A1%D7%A8%D7%97%20%D7%91%D7%95%D7%A1%D7%98%D7%95%D7%9F%20%282%29.jpg
סרח בוסטון,/static/image/%D7%A1%D7%A8%D7%97%20%D7%91%D7%95%D7%A1%D7%98%D7%95%D7%9F.jpg
עץ הקמפור החסון,/static/image/%D7%A2%D7%A5%20%D7%94%D7%A7%D7%9E%D7%A4%D7%95%D7%A8%20%D7%94%D7%97%D7%A1%D7%95%D7%9F.jpg
פיטיאה,/static/image/%D7%A4%D7%99%D7%98%D7%99%D7%90%D7%94.jpg
פיטיה,/static/image/%D7%A4%D7%99%D7%98%D7%99%D7%94.jpg
פיקוס גומי,/static/image/%D7%A4%D7%99%D7%A7%D7%95%D7%A1%20%D7%92%D7%95%D7%9E%D7%99.jpg
צירידופסיס דנטיקולטה,/static/image/%D7%A6%D7%99%D7%A8%D7%99%D7%93%D7%95%D7%A4%D7%A1%D7%99%D7%A1%20%D7%93%D7%A0%D7%98%D7%99%D7%A7%D7%95%D7%9C%D7%98%D7%94.jpg
צלקנית,/static/image/%D7%A6%D7%9C%D7%A7%D7%A0%D7%99%D7%AA.jpg
קוטילדון אורביקולטה,/static/image/%D7%A7%D7%95%D7%98%D7%99%D7%9C%D7%93%D7%95%D7%9F%20%D7%90%D7%95%D7%A8%D7%91%D7%99%D7%A7%D7%95%D7%9C%D7%98%D7%94.jpg
קוטילון טומנטוסה,/static/image/%D7%A7%D7%95%D7%98%D7%99%D7%9C%D7%95%D7%9F%20%D7%98%D7%95%D7%9E%D7%A0%D7%98%D7%95%D7%A1%D7%94.jpg
קוטילון טומנתוסה,/static/image/%D7%A7%D7%95%D7%98%D7%99%D7%9C%D7%95%D7%9F%20%D7%98%D7%95%D7%9E%D7%A0%D7%AA%D7%95%D7%A1%D7%94.jpg
קורדילין אדום,/static/image/%D7%A7%D7%95%D7%A8%D7%93%D7%99%D7%9C%D7%99%D7%9F%20%D7%90%D7%93%D7%95%D7%9D.jpg
קורדלין אדום,/static/image/%D7%A7%D7%95%D7%A8%D7%93%D7%9C%D7%99%D7%9F%20%D7%90%D7%93%D7%95%D7%9D.jpg
קיסוס שוודי,/static/image/%D7%A7%D7%99%D7%A1%D7%95%D7%A1%20%D7%A9%D7%95%D7%95%D7%93%D7%99.jpg
קלנצו אורגניס,/static/image/%D7%A7%D7%9C%D7%A0%D7%A6%D7%95%20%D7%90%D7%95%D7%A8%D7%92%D7%A0%D7%99%D7%A1.jpg
קלנצו טומנטוסה,/static/image/%D7%A7%D7%9C%D7%A0%D7%A6%D7%95%20%D7%98%D7%95%D7%9E%D7%A0%D7%98%D7%95%D7%A1%D7%94.jpg
קרסולה 2,/static/image/%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94%20%282%29.jpg
קרסולה מוסקוסה,/static/image/%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94%20%D7%9E%D7%95%D7%A1%D7%A7%D7%95%D7%A1%D7%94.jpg
קרסולה סגלגלה 2,/static/image/%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94%20%D7%A1%D7%92%D7%9C%D7%92%D7%9C%D7%94%20%282%29.jpg
קרסולה סגלגלה 3,/static/image/%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94%20%D7%A1%D7%92%D7%9C%D7%92%D7%9C%D7%94%20%283%29.jpg
קרסולה סגלגלה,/static/image/%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94%20%D7%A1%D7%92%D7%9C%D7%92%D7%9C%D7%94.jpg
קרסולה קסקסית,/static/image/%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94%20%D7%A7%D7%A1%D7%A7%D7%A1%D7%99%D7%AA.jpg
קרסולה,/static/image/%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94.jpg
רגלנית אפריקנית 2,/static/image/%D7%A8%D7%92%D7%9C%D7%A0%D7%99%D7%AA%20%D7%90%D7%A4%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%AA%20%282%29.jpg
רגלנית אפריקנית 3,/static/image/%D7%A8%D7%92%D7%9C%D7%A0%D7%99%D7%AA%20%D7%90%D7%A4%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%AA%20%283%29.jpg
רגלנית אפריקנית,/static/image/%D7%A8%D7%92%D7%9C%D7%A0%D7%99%D7%AA%20%D7%90%D7%A4%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%AA.jpg
רוזמרין 2,/static/image/%D7%A8%D7%95%D7%96%D7%9E%D7%A8%D7%99%D7%9F%20%282%29.jpg
רוזמרין,/static/image/%D7%A8%D7%95%D7%96%D7%9E%D7%A8%D7%99%D7%9F.jpg
